DATE,CASES,zeven,DATUM
2022-02-12,6767,14882.0,12/02/2022
2022-02-13,4848,14531.0,13/02/2022
2022-02-14,16497,12969.0,14/02/2022
2022-02-15,11566,11844.0,15/02/2022
2022-02-16,10628,10962.0,16/02/2022
2022-02-17,9289,10257.0,17/02/2022
2022-02-18,7727,9617.0,18/02/2022
2022-02-19,4501,9294.0,19/02/2022
2022-02-20,2946,9022.0,20/02/2022
2022-02-21,10949,8229.0,21/02/2022
2022-02-22,7993,7719.0,22/02/2022
2022-02-23,7626,7290.0,23/02/2022
2022-02-24,6681,6918.0,24/02/2022
2022-02-25,5823,6646.0,25/02/2022
2022-02-26,3373,6484.0,26/02/2022
2022-02-27,2353,6400.0,27/02/2022
2022-02-28,8326,6025.0,28/02/2022
2022-03-01,6889,5867.0,01/03/2022
2022-03-02,7572,5860.0,02/03/2022
2022-03-03,7157,5928.0,03/03/2022
2022-03-04,6922,6085.0,04/03/2022
2022-03-05,4173,6199.0,05/03/2022
2022-03-06,3529,6367.0,06/03/2022
2022-03-07,12329,6939.0,07/03/2022
2022-03-08,9116,7257.0,08/03/2022
2022-03-09,9362,7513.0,09/03/2022
2022-03-10,8667,7728.0,10/03/2022
2022-03-11,8605,7969.0,11/03/2022
2022-03-12,5105,8102.0,12/03/2022
2022-03-13,3997,8169.0,13/03/2022
2022-03-14,15910,8680.0,14/03/2022
2022-03-15,12448,9156.0,15/03/2022
2022-03-16,12347,9583.0,16/03/2022
2022-03-17,11253,9952.0,17/03/2022
2022-03-18,10087,10164.0,18/03/2022
2022-03-19,5726,10253.0,19/03/2022
2022-03-20,4116,10270.0,20/03/2022
2022-03-21,18112,10584.0,21/03/2022
2022-03-22,13583,10746.0,22/03/2022
2022-03-23,13615,10927.0,23/03/2022
2022-03-24,12509,11107.0,24/03/2022
2022-03-25,11164,11261.0,25/03/2022
2022-03-26,5895,11285.0,26/03/2022
2022-03-27,3681,11223.0,27/03/2022
2022-03-28,18021,11210.0,28/03/2022
2022-03-29,13065,11136.0,29/03/2022
2022-03-30,12048,10912.0,30/03/2022
2022-03-31,11016,10699.0,31/03/2022
2022-04-01,9002,10390.0,01/04/2022
2022-04-02,5060,10270.0,02/04/2022
2022-04-03,3022,10176.0,03/04/2022
2022-04-04,14433,9664.0,04/04/2022
2022-04-05,10819,9343.0,05/04/2022
2022-04-06,10845,9171.0,06/04/2022
2022-04-07,9790,8996.0,07/04/2022
2022-04-08,8879,8978.0,08/04/2022
