REGION,Regio,Minstens één dosis,Volledig gevaccineerd,Boosterprik
Brussels,Brussel,76.52689436975405,75.2143385813682,49.12978059480081
Flanders,Vlaanderen,94.9547973876927,94.36465087659597,85.36384443626092
Ostbelgien,Duitstalige gebieden,82.53854940034266,81.66285931848466,65.74021194238213
Wallonia,Wallonië,86.42782961106015,85.61865969982259,67.67910665443523
