DATE,Aantal Covid-overlijdens,Aantal Covid-overlijdens opgeteld
2020-09-02,3,10019
2020-09-03,4,10023
2020-09-04,2,10025
2020-09-05,1,10026
2020-09-06,3,10029
2020-09-07,4,10033
2020-09-08,3,10036
2020-09-09,2,10038
2020-09-10,3,10041
2020-09-11,5,10046
2020-09-12,1,10047
2020-09-13,1,10048
2020-09-14,4,10052
2020-09-15,3,10055
2020-09-16,4,10059
2020-09-17,1,10060
2020-09-18,6,10066
2020-09-19,8,10074
2020-09-20,3,10077
2020-09-21,3,10080
2020-09-22,1,10081
2020-09-23,8,10089
2020-09-24,5,10094
2020-09-25,5,10099
2020-09-26,7,10106
2020-09-27,13,10119
2020-09-28,13,10132
2020-09-29,10,10142
2020-09-30,6,10148
2020-10-01,15,10163
2020-10-02,11,10174
2020-10-03,15,10189
2020-10-04,16,10205
2020-10-05,15,10220
2020-10-06,19,10239
2020-10-07,20,10259
2020-10-08,20,10279
2020-10-09,20,10299
2020-10-10,22,10321
2020-10-11,28,10349
2020-10-12,36,10385
2020-10-13,36,10421
2020-10-14,42,10463
2020-10-15,38,10501
2020-10-16,37,10538
2020-10-17,23,10561
2020-10-18,31,10592
2020-10-19,55,10647
2020-10-20,53,10700
2020-10-21,61,10761
2020-10-22,57,10818
2020-10-23,92,10910
2020-10-24,96,11006
2020-10-25,98,11104
2020-10-26,123,11227
2020-10-27,130,11357
2020-10-28,143,11500
2020-10-29,143,11643
2020-10-30,185,11828
2020-10-31,176,12004
2020-11-01,166,12170
2020-11-02,214,12384
2020-11-03,175,12559
2020-11-04,201,12760
2020-11-05,211,12971
2020-11-06,217,13188
2020-11-07,210,13398
2020-11-08,210,13608
2020-11-09,198,13806
2020-11-10,219,14025
2020-11-11,196,14221
2020-11-12,172,14393
2020-11-13,183,14576
2020-11-14,178,14754
2020-11-15,193,14947
2020-11-16,195,15142
2020-11-17,160,15302
2020-11-18,160,15462
2020-11-19,172,15634
2020-11-20,171,15805
2020-11-21,142,15947
2020-11-22,135,16082
2020-11-23,142,16224
2020-11-24,123,16347
2020-11-25,139,16486
2020-11-26,118,16604
2020-11-27,126,16730
2020-11-28,119,16849
2020-11-29,119,16968
2020-11-30,102,17070
2020-12-01,111,17181
2020-12-02,117,17298
2020-12-03,94,17392
2020-12-04,110,17502
2020-12-05,87,17589
2020-12-06,86,17675
2020-12-07,98,17773
2020-12-08,92,17865
2020-12-09,89,17954
2020-12-10,96,18050
2020-12-11,114,18164
2020-12-12,87,18251
2020-12-13,92,18343
2020-12-14,100,18443
2020-12-15,103,18546
2020-12-16,99,18645
2020-12-17,90,18735
2020-12-18,85,18820
2020-12-19,93,18913
2020-12-20,89,19002
2020-12-21,71,19073
2020-12-22,102,19175
2020-12-23,94,19269
2020-12-24,81,19350
2020-12-25,69,19419
2020-12-26,64,19483
2020-12-27,61,19544
2020-12-28,63,19607
2020-12-29,77,19684
2020-12-30,74,19758
2020-12-31,88,19846
2021-01-01,50,19896
2021-01-02,64,19960
2021-01-03,42,20002
2021-01-04,59,20061
2021-01-05,63,20124
2021-01-06,57,20181
2021-01-07,53,20234
2021-01-08,50,20284
2021-01-09,52,20336
